name,SMILES
mol_248,COc1ccc(-c2nc(NC(=O)C(C)c3ccc(Cl)cc3)[nH]c2C)cc1S(=O)(=O)CCO
mol_249,Fc1ccc(-c2cc3ncnc(Cl)c3s2)cc1
mol_250,CC1=C(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)N(c2ccccc2Cl)CO1
mol_251,CCCCCCCCCc1ccc(CN2CCC(P(=O)(O)O)C2)cc1
mol_252,CCc1cc(NC(=O)NC(CO)CCN2CC(Oc3ccc(Cl)cc3)C2)n(C)n1
mol_253,O=C(Nc1ccc2ncccc2c1)ON1C(=O)CCC1=O
mol_254,COc1cccc(C(=O)COc2ccc(Cc3sc(=O)[nH]c3O)cc2)c1
mol_255,O=C(O)CCCCCNc1ccc([N+](=O)[O-])c2nonc12
mol_256,C=C(C)C(CC=C(C)C)Cc1c(O)cc(OC)c2c1OC(c1ccc(O)cc1O)C(O)C2=O
mol_257,COC(=O)CNC(=O)C(C)(C)NC(=O)c1cc2c(n(CC3CCCCC3)c1=O)CCCCCC2
mol_258,CS(=O)(=O)c1ccc(Cn2c3c(c4cc(F)cc(F)c42)CCCC3CC(=O)O)cc1
mol_259,CC(CCc1ccccc1)NCC(=O)c1ccc(O)c(C(N)=O)c1.Cl
mol_260,COc1cccc(-n2c(=O)[nH]c3cc(Cl)n(-c4ccc(-c5cccc(OC)c5O)cc4)c3c2=O)c1
mol_261,Cc1[nH]cnc1CN1CCc2c(c3cccc(F)c3n2C)C1=O
mol_262,O=C(C=Cc1ccc(CNCCCc2ccccc2)cc1)NO
mol_263,COc1ccc2cc(C(C#N)OC(=O)CC3OC3c3ccccc3)ccc2c1
mol_264,[H]c1c([H])c(S(=O)(=O)Nc2cc(C)on2)c([H])c([H])c1N
mol_265,COc1ccc2[nH]cc(CCNCc3ccc(C=CC(=O)NO)cc3)c2c1
mol_266,O=C(CCCSSc1ccccn1)ON1C(=O)CCC1=O
mol_267,CC(C)CN(C(=O)c1ccc(Cl)c(Cl)c1)C1CCNC1
